Gene1,Gene2,Label
CYP26B1,CYP3A5,1
CYP26B1,RBP1,1
CYP26B1,ALDH1A2,1
CYP26B1,CYP4F22,1
CYP26B1,FASN,1
CYP26B1,C5orf4,1
CYP26B1,ALDH1A3,1
CYP26B1,LRAT,1
CYP26B1,CYP2J2,1
CYP26B1,AOX1,1
CYP26B1,RARG,1
CYP26B1,CRABP2,1
HSPB6,HSPB1,1
HSPB6,TLR2,1
HSPB6,HSPB8,1
HSPB6,MAP1B,1
HSPB6,HSPB2,1
HSPB6,FLNC,1
HSPB6,HSPB7,1
HSPB6,PDE4A,1
HSPB6,PNMA2,1
HSPB6,CRYAB,1
PDK4,LIPE,1
PDK4,CD36,1
PDK4,PPARGC1A,1
PDK4,ANGPTL4,1
PDK4,FASN,1
PDK4,ITPR1,1
PDK4,PPARGC1B,1
PDK4,SLC2A4,1
PDK4,ACACB,1
PDK4,FABP3,1
PDK4,MAOB,1
PDK4,CPT1B,1
TMEM132A,NAV2,1
PRSS21,GPLD1,1
CAMK1G,CREB3L4,1
CAMK1G,CACNA1D,1
CAMK1G,CAMK2N2,1
CAMK1G,CALML3,1
CAMK1G,CAMK1D,1
INMT,ALDH2,1
INMT,AOC3,1
INMT,MKI67,1
INMT,AOX1,1
INMT,MAOB,1
INMT,ABP1,1
SNAI2,KRT14,1
SNAI2,ACTA2,1
SNAI2,TGFB3,1
SNAI2,TWIST1,1
SNAI2,FOXA1,1
SNAI2,KRT5,1
SNAI2,EPCAM,1
SNAI2,FGF2,1
SNAI2,MECOM,1
SNAI2,TIMP3,1
SNAI2,FGF7,1
SNAI2,CDH2,1
SNAI2,GJA1,1
SNAI2,WNT3A,1
SNAI2,KIT,1
SNAI2,ITGA5,1
SNAI2,SOX8,1
SNAI2,CBX2,1
SNAI2,FOSL1,1
SNAI2,MET,1
SNAI2,EZH2,1
SNAI2,SOX2,1
SNAI2,PGR,1
SNAI2,HOXB2,1
SNAI2,EDN3,1
SNAI2,CAV1,1
SNAI2,MPP2,1
SNAI2,MPP2,1
SNAI2,FRMD6,1
SNAI2,ATF3,1
SNAI2,TPM1,1
SNAI2,NRG2,1
SNAI2,KRT19,1
SNAI2,MMP9,1
SNAI2,LCN2,1
SNAI2,DES,1
SNAI2,DKK1,1
