Hugo_Symbol,tumor_mean,normal_mean,log2_fold_change,abs_log2_fold_change
DLX1,7.949686936649805,2.6979321877347213,5.251754748915083,5.251754748915083
SEMG1,2.4231789867779225,7.5995955403934605,-5.176416553615538,5.176416553615538
PCA3,11.450603261068933,6.77788891155745,4.672714349511483,4.672714349511483
SEMG2,2.7821615880012804,6.7184179376348725,-3.936256349633592,3.936256349633592
TDRD1,6.566665860142261,2.6678555457553395,3.8988103143869215,3.8988103143869215
ZIC2,5.110882213226244,1.2463195888915815,3.8645626243346625,3.8645626243346625
SLC45A2,5.214204305092471,1.359369944447177,3.854834360645294,3.854834360645294
HOXC6,7.794757691991297,3.9761843490183755,3.8185733429729214,3.8185733429729214
DLX2,5.0905943869357655,1.3273789836261813,3.763215403309584,3.763215403309584
SLC39A2,2.72196278738172,6.4734311094690185,-3.7514683220872986,3.7514683220872986
PIK3C2G,1.7588437079916632,5.507993146595917,-3.7491494386042534,3.7491494386042534
SERPINA5,4.337780788618286,7.815283489507343,-3.4775027008890573,3.4775027008890573
CLCA2,3.449876686321241,6.914761547437293,-3.4648848611160523,3.4648848611160523
ACTC1,6.970062549790504,10.406677191885377,-3.436614642094873,3.436614642094873
KRT13,5.867687559369815,9.278559207088703,-3.4108716477188885,3.4108716477188885
CPNE6,3.927322084357506,7.221916347718873,-3.2945942633613665,3.2945942633613665
FOXI1,2.7895266855273824,5.9895738231263795,-3.200047137598997,3.200047137598997
CA14,3.8908572425639028,7.0589115826617705,-3.168054340097868,3.168054340097868
COL10A1,6.126048808319078,2.975876243940339,3.1501725643787393,3.1501725643787393
MYH6,1.9418289801604784,5.029782156051224,-3.087953175890746,3.087953175890746
EMX2OS,3.131806903192177,6.205586946226062,-3.073780043033885,3.073780043033885
HOXC4,6.292982534881454,3.2512870931939633,3.041695441687491,3.041695441687491
MCF2,2.152753794111673,5.193631060943878,-3.0408772668322053,3.0408772668322053
GPX2,5.0652485871710375,8.086241462557767,-3.02099287538673,3.02099287538673
AMACR,12.805304444954409,9.78827343034718,3.0170310146072286,3.0170310146072286
ONECUT2,6.743900757547628,3.736105310652113,3.007795446895515,3.007795446895515
SCGB3A1,4.100815604326089,7.095368145114768,-2.9945525407886793,2.9945525407886793
SIM2,10.523794259649092,7.529716293911022,2.99407796573807,2.99407796573807
PNMT,2.4313964310089355,5.4127571989034315,-2.981360767894496,2.981360767894496
FOXD1,5.346606110506264,2.376610204156863,2.9699959063494012,2.9699959063494012
IGSF1,3.9812891890996496,6.935249903845413,-2.953960714745764,2.953960714745764
OR51E2,12.612253643168273,9.677292045582714,2.934961597585559,2.934961597585559
RPE65,2.4301159531407768,5.364929988857037,-2.9348140357162604,2.9348140357162604
EMX2,2.2107894670778765,5.144881207542737,-2.93409174046486,2.93409174046486
KCNJ15,4.267620135262277,7.196741763904446,-2.929121628642169,2.929121628642169
LGR6,5.108996399988803,8.025391914997128,-2.9163955150083245,2.9163955150083245
SLIT1,7.564894266485639,4.667001747063152,2.897892519422487,2.897892519422487
GAL,5.246985248967716,2.3944706991073015,2.8525145498604147,2.8525145498604147
CHP2,3.7129070820924737,6.565084011926124,-2.85217692983365,2.85217692983365
CRTAC1,4.580705029263883,7.417546088405152,-2.8368410591412694,2.8368410591412694
GSTM1,4.963827949703015,7.786687179845537,-2.822859230142522,2.822859230142522
CYP3A5,5.261333428492822,8.07852758960566,-2.8171941611128375,2.8171941611128375
FOLH1B,6.740396386902116,3.925120005839664,2.815276381062452,2.815276381062452
DUOX2,4.859441716201671,7.6699363473351365,-2.8104946311334658,2.8104946311334658
SCGB1A1,5.3345961853158705,8.144395686590418,-2.809799501274547,2.809799501274547
LOC100130872,9.331512722934503,6.528288388112178,2.8032243348223256,2.8032243348223256
BMP5,2.597694042914272,5.400116277942297,-2.8024222350280255,2.8024222350280255
PENK,4.842577248711098,7.628104025629785,-2.7855267769186867,2.7855267769186867
CYP4B1,6.673330737986898,9.449880094955216,-2.7765493569683173,2.7765493569683173
TARP,13.11233058097063,10.338954924262733,2.7733756567078967,2.7733756567078967
CKM,4.7671952832843125,7.536769187055289,-2.7695739037709766,2.7695739037709766
ACSM1,9.601332604503343,6.849358275162656,2.751974329340687,2.751974329340687
S100A14,5.481613252863934,8.230705262018658,-2.749092009154724,2.749092009154724
KY,3.950288324815061,6.697723820846992,-2.747435496031931,2.747435496031931
HPN,12.112375815577268,9.379906140240431,2.732469675336837,2.732469675336837
CYP4F22,3.385572843265565,6.115811560943849,-2.7302387176782834,2.7302387176782834
MSLN,3.862954159563233,6.582389139778652,-2.7194349802154187,2.7194349802154187
WIF1,4.71925779041916,7.435723020121823,-2.7164652297026626,2.7164652297026626
DUOXA1,4.9522382062371975,7.664833024064446,-2.7125948178272488,2.7125948178272488
TGM3,7.223763277865408,4.511540621696798,2.71222265616861,2.71222265616861
KCNJ3,3.8590347582050284,6.566096839621265,-2.7070620814162365,2.7070620814162365
DAPL1,2.81817125666507,5.525206736134976,-2.707035479469906,2.707035479469906
ABP1,6.07764072243732,8.753661583694925,-2.676020861257604,2.676020861257604
COL17A1,7.7948718758921824,10.464567833301714,-2.669695957409532,2.669695957409532
COMP,8.917733212352452,6.2540162427202866,2.6637169696321656,2.6637169696321656
CXCR2,2.9043309916399247,5.561719152260083,-2.657388160620158,2.657388160620158
C2orf88,5.711095452203932,8.365927995498762,-2.6548325432948294,2.6548325432948294
PCP4L1,5.032857480190324,7.661451517628104,-2.6285940374377805,2.6285940374377805
FOLH1,13.214753153800801,10.588715993872373,2.626037159928428,2.626037159928428
DUOX1,6.98474638204492,9.608955881146265,-2.6242094991013456,2.6242094991013456
AOX1,8.085724335835101,10.709800418229205,-2.6240760823941045,2.6240760823941045
TP63,7.9537507047321006,10.571959768124755,-2.618209063392654,2.618209063392654
KRT23,6.671423371788809,9.269934753781671,-2.5985113819928616,2.5985113819928616
KRT5,10.391083105717506,12.969035066930738,-2.5779519612132322,2.5779519612132322
CST2,5.351139855451179,2.7788723870727874,2.5722674683783917,2.5722674683783917
NPY6R,2.438955541234944,5.004335742661274,-2.56538020142633,2.56538020142633
WFDC2,8.442948240330324,11.002889782980706,-2.5599415426503818,2.5599415426503818
MFSD2A,4.034385248203067,6.586428174422452,-2.552042926219385,2.552042926219385
KRT16,4.217673402934456,6.7660944003455405,-2.5484209974110845,2.5484209974110845
LIX1,3.554394571476393,6.089152262639503,-2.5347576911631102,2.5347576911631102
STAC,5.846869376285689,8.378090752297325,-2.5312213760116364,2.5312213760116364
APOF,6.769214662777991,4.239634419597906,2.529580243180085,2.529580243180085
LOC572558,5.480207347534842,8.000376172649073,-2.520168825114231,2.520168825114231
PGM5P2,3.9681952156487053,6.487946016607679,-2.5197508009589735,2.5197508009589735
DNAH5,9.334977482995505,6.821332985442181,2.513644497553324,2.513644497553324
FAM83B,3.7346216707690716,6.234377082588396,-2.4997554118193244,2.4997554118193244
DRAIC,8.662984444578887,6.166218219357818,2.4967662252210694,2.4967662252210694
AQP5,2.6640018071749987,5.149869265540487,-2.4858674583654885,2.4858674583654885
HJURP,6.016621132383616,3.535129598780006,2.48149153360361,2.48149153360361
SNAP47,6.7775513220753805,9.255988497690392,-2.478437175615012,2.478437175615012
FOLR1,3.1835708358591734,5.65963179220066,-2.4760609563414864,2.4760609563414864
GJB5,4.190970023218017,6.666667630548148,-2.4756976073301313,2.4756976073301313
ASPA,3.302275726840189,5.769072365211063,-2.4667966383708735,2.4667966383708735
TMEM40,3.2955936389660883,5.7543403532496225,-2.458746714283534,2.458746714283534
SLC26A3,3.6927907943316898,6.143958909920473,-2.451168115588783,2.451168115588783
PIP,4.023113552135467,6.472242704107245,-2.4491291519717784,2.4491291519717784
MYBL2,6.5363022779202025,4.092372277502219,2.443930000417984,2.443930000417984
KIAA1210,6.5923274153769125,9.029640474258004,-2.4373130588810916,2.4373130588810916
FUT3,2.763543662974227,5.199472661453485,-2.435928998479258,2.435928998479258
GLYATL1,9.779208977936353,7.347723939574412,2.4314850383619406,2.4314850383619406
GPR87,5.186295060898216,7.615635015585929,-2.4293399546877135,2.4293399546877135
CLCA4,3.1984301895802316,5.61579272921863,-2.4173625396383986,2.4173625396383986
CCK,5.137999858704268,7.554367616220303,-2.416367757516035,2.416367757516035
PI16,6.047752152013202,8.458342954580393,-2.4105908025671914,2.4105908025671914
DAB1,3.104975982503671,5.509863923943697,-2.404887941440026,2.404887941440026
LUZP2,8.75497152046758,6.358339304727705,2.3966322157398743,2.3966322157398743
APOBEC3C,6.956715794088463,9.352264072726692,-2.3955482786382287,2.3955482786382287
TNS4,7.888505275193398,10.275789395323509,-2.3872841201301105,2.3872841201301105
KRT4,4.748130737280103,7.1345506975341335,-2.38641996025403,2.38641996025403
OTX1,5.8443821851653555,3.4629778029492284,2.381404382216127,2.381404382216127
CHIT1,6.2354635345657154,3.8543909708454986,2.381072563720217,2.381072563720217
GATA3,6.919816250328939,9.291473009106538,-2.3716567587775987,2.3716567587775987
HRNBP3,6.561050119977107,8.93224410401783,-2.3711939840407226,2.3711939840407226
STAC2,5.000828865524355,7.370471130489753,-2.3696422649653988,2.3696422649653988
BEND4,9.68420340398512,7.315070289469962,2.369133114515157,2.369133114515157
DUOXA2,2.664911583574541,5.027024389728462,-2.3621128061539207,2.3621128061539207
JPH4,7.159534039338797,9.518695046786075,-2.3591610074472777,2.3591610074472777
HSD17B13,4.756231150944083,7.114540480348776,-2.358309329404693,2.358309329404693
SERPINB5,6.012623260663231,8.368904081428612,-2.356280820765381,2.356280820765381
KIF4A,5.891178796211263,3.5355837088485718,2.3555950873626914,2.3555950873626914
C8orf84,6.68671273798653,9.040768884347932,-2.354056146361402,2.354056146361402
CCBE1,3.5569968633893976,5.892967493062756,-2.335970629673358,2.335970629673358
FAT2,6.576743566903765,8.912421376324867,-2.3356778094211013,2.3356778094211013
TMEM132C,4.451741053594682,6.785613501764104,-2.333872448169422,2.333872448169422
COL4A6,7.532465617337861,9.866167073766256,-2.333701456428395,2.333701456428395
ANGPT1,7.430504259040102,9.762549583898208,-2.3320453248581057,2.3320453248581057
CAPN6,6.087283941341659,8.41765043821774,-2.3303664968760804,2.3303664968760804
PROM1,5.431505991009479,7.761144812261605,-2.329638821252126,2.329638821252126
ACTA1,4.681842421640064,7.009384325522816,-2.327541903882752,2.327541903882752
ALDH3A1,3.6156668985834624,5.9339963555318755,-2.318329456948413,2.318329456948413
SLC2A5,6.682464067100454,9.000624801707508,-2.318160734607054,2.318160734607054
PAK3,2.688984431143732,5.00698842531504,-2.318003994171308,2.318003994171308
TMEM35,6.935030898806348,9.25104526862873,-2.3160143698223816,2.3160143698223816
EPHB1,4.263678696025535,6.577929253388656,-2.3142505573631214,2.3142505573631214
SCARA5,3.4848684453748646,5.796426342001447,-2.3115578966265824,2.3115578966265824
KCNS1,3.464923571270848,5.772646863105658,-2.30772329183481,2.30772329183481
COL2A1,6.173500236652367,3.8674234485556003,2.3060767880967665,2.3060767880967665
GCNT4,3.6727359156739414,5.974859751648551,-2.3021238359746095,2.3021238359746095
TRIM29,9.332991621290791,11.634481358700063,-2.3014897374092715,2.3014897374092715
KLHL14,4.028640062338532,6.325297904709136,-2.296657842370604,2.296657842370604
SOSTDC1,4.023915674646876,6.3116456373017,-2.287729962654824,2.287729962654824
MAL,4.128213132201733,6.413210292944362,-2.2849971607426296,2.2849971607426296
C2orf72,9.97624156664605,7.6945529739720895,2.2816885926739614,2.2816885926739614
LAMB3,9.03292119362002,11.310899654308521,-2.2779784606885016,2.2779784606885016
CGREF1,9.241811835190477,6.964517546255319,2.277294288935158,2.277294288935158
SRD5A2,6.9915483138436905,9.257608983526307,-2.2660606696826164,2.2660606696826164
DPT,6.817577107198704,9.083384314912976,-2.265807207714272,2.265807207714272
QPRT,5.717994551892484,7.976712928395498,-2.2587183765030145,2.2587183765030145
NEFL,4.07419517800432,6.326089434060899,-2.2518942560565787,2.2518942560565787
